STATE,DISTRICT_NAME,NEW_REGION_TYPE,AC_NO
Bihar,Banka,Urban,159
Bihar,Gopalganj,Urban,100; 101
Bihar,Madhepura,Urban,73
Bihar,Nalanda,Urban,172; 173
Bihar,Saharsa,Urban,75
Bihar,Saran,Urban,117; 118; 119
Bihar,Sheohar,Urban,22
Chhattisgarh,Janjgir - Champa,Urban,35; 37
Haryana,Panchkula,Urban,1; 2
Jharkhand,Dumka,Urban,10
Jharkhand,Palamu,Urban,76; 78
Jharkhand,Ramgarh,Urban,23
Jharkhand,Ramgarh,Rural,22
Kerala,Kasaragod,Urban,2; 4
Madhya Pradesh,Jhabua,Urban,194; 193
Madhya Pradesh,Singrauli,Urban,80;81
Maharashtra,Bhandara,Urban,60; 61
Maharashtra,Ratnagiri,Urban,266
Maharashtra,Sindhudurg,Urban,270
Odisha,Puri,Urban,107
Punjab,Firozpur,Urban,76
Punjab,Hoshiarpur,Urban,39; 43
Punjab,Rupnagar,Urban,49; 50
Rajasthan,Jaisalmer,Urban,132; 133
Rajasthan,Pali,Urban,121; 119
Rajasthan,Rajsamand,Urban,175; 176
Rajasthan,Sawai Madhopur,Urban,92; 93
Tamil Nadu,Pudukkottai,Urban,180
Uttar Pradesh,Allahabad,Urban,260; 259
Uttar Pradesh,Bahraich,Urban,283
Uttar Pradesh,Balrampur,Urban,294
Uttar Pradesh,Chitrakoot,Urban,236
Uttar Pradesh,Sultanpur,Urban,188
